VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1AG0D,Snohomish,Lynnwood,WA,98087,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21,172644013,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041703
5YJSA1AG6D,King,Bothell,WA,98011,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,1,167512019,POINT (-122.20578 47.762405),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021905
5YJSA1DP8D,Thurston,Olympia,WA,98512,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,35,194662373,POINT (-122.9131017 47.0135926),PUGET SOUND ENERGY INC,53067011810
5YJSA1H26E,Grays Harbor,Aberdeen,WA,98520,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,24,256185226,POINT (-123.8206 46.97789),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,53027000300
5YJSA1CG9D,King,Woodinville,WA,98072,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45,133006310,POINT (-122.151665 47.75855),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032326
5YJSA1S16E,Snohomish,Snohomish,WA,98296,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,1,112857139,POINT (-122.121841 47.841036),PUGET SOUND ENERGY INC,53061052114
5YJSA1AC6D,Thurston,Tenino,WA,98589,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,20,3063028,POINT (-122.85403 46.856085),PUGET SOUND ENERGY INC,53067012530
5YJSA1DN9D,Snohomish,Everett,WA,98201,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,38,116806721,POINT (-122.20722 47.979935),PUGET SOUND ENERGY INC,53061040500
5YJSA1H16E,King,Seattle,WA,98144,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,37,233884164,POINT (-122.30823 47.581975),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008900
5YJSA1DP2D,King,Redmond,WA,98053,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45,261432321,POINT (-122.030684 47.669552),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032332
5YJSA1CG9D,Pierce,Gig Harbor,WA,98329,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,26,144523690,POINT (-122.6657985 47.383359),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072601
5YJSA1DN1D,King,Seattle,WA,98199,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,36,131301355,POINT (-122.394937 47.649547),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005600
5YJSA1DP0D,King,Issaquah,WA,98027,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,5,247678770,POINT (-122.03646 47.534065),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032102
5YJSA1S16E,Pierce,Gig Harbor,WA,98332,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,26,144011759,POINT (-122.589645 47.342345),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072504
5YJSA1H10E,King,Woodinville,WA,98072,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45,6118948,POINT (-122.151665 47.75855),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032319
5YJSA1BC1D,King,Bellevue,WA,98005,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,48,121379373,POINT (-122.167394 47.614119),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023702
5YJSA1DP3D,Pierce,Tacoma,WA,98405,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,27,96589,POINT (-122.45153 47.251135),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053061300
5YJSA1CG3D,Pierce,Lake Tapps,WA,98391,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,31,120104057,POINT (-122.183805 47.18062),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070307
5YJSA1CP6D,Snohomish,Edmonds,WA,98020,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21,187876125,POINT (-122.3757836 47.800042),PUGET SOUND ENERGY INC,53061050403
5YJSA1H1XE,King,Seattle,WA,98112,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,37,162111918,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800
5YJSA1S10E,King,Seattle,WA,98134,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,11,174084466,POINT (-122.329815 47.57981),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009300
5YJSA1CN2D,King,Seattle,WA,98115,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,46,2580686,POINT (-122.3185 47.67949),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002600
5YJSA1H18E,Pierce,Tacoma,WA,98406,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,28,240027210,POINT (-122.490985 47.26365),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053060908
5YJSA1DP0D,King,Seattle,WA,98126,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,34,131849133,POINT (-122.374105 47.54468),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009900
5YJSA1CN5D,Whatcom,Bellingham,WA,98225,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,40,215093308,POINT (-122.486115 48.761615),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073001203
5YJSA1H10E,King,Seattle,WA,98178,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,37,179691270,POINT (-122.2453 47.499708),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033026102
5YJSA1H1XE,King,Renton,WA,98058,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,11,111757355,POINT (-122.1298876 47.4451257),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031906
5YJSA1H22E,King,Seattle,WA,98115,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,46,192831502,POINT (-122.3185 47.67949),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002100
5YJSA1CN3D,King,Seattle,WA,98107,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,36,176240970,POINT (-122.37815 47.66866),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004702
5YJSA1CN9D,King,Redmond,WA,98052,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,48,226259239,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022803
5YJSA1H11E,Snohomish,Everett,WA,98204,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21,125971107,POINT (-122.240535 47.91139),PUGET SOUND ENERGY INC,53061041812
5YJSA1DPXD,Snohomish,Arlington,WA,98223,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,38,198737360,POINT (-122.11597 48.194109),PUGET SOUND ENERGY INC,53061053102
5YJSA1H19E,Snohomish,Bothell,WA,98012,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,44,119502848,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061052010
5YJSA1BG2D,Snohomish,Gold Bar,WA,98251,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,39,215266824,POINT (-121.6339493 47.8380285),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053803
5YJSA1CG6D,San Juan,Friday Harbor,WA,98250,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,40,178777945,POINT (-123.0679454 48.5327669),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,53055960301
5YJSA1H11E,Snohomish,Bothell,WA,98021,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,1,194529968,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051918
5YJSA1DN5D,Grays Harbor,Aberdeen,WA,98520,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,19,234383110,POINT (-123.8206 46.97789),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,53027001100
5YJSA1DP4D,Kitsap,Bainbridge Island,WA,98110,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,23,157929824,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090901
5YJSA1S1XE,Snohomish,Lynnwood,WA,98037,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21,158548071,POINT (-122.283973 47.838697),PUGET SOUND ENERGY INC,53061051927
5YJSA1AG7D,Clallam,Port Angeles,WA,98362,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,24,120726770,POINT (-123.425565 48.109795),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,53009001600
5YJSA1CG7D,Snohomish,Snohomish,WA,98290,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,39,252836335,POINT (-122.0483457 47.9435765),PUGET SOUND ENERGY INC,53061052302
